타임스탬프,이름,소속 교회,참가 구분,학년,성별,본인 연락처,보호자 연락처,참가비 납부 여부,식단/알레르기 여부,알레르기 상세,특이사항
2026/07/01 9:00:00,김민준,샘플제일교회,학생,고2,남,010-2001-0001,010-3001-0001,완납,없음,,
2026/07/01 9:05:00,이서연,샘플제일교회,학생,고1,여,010-2001-0002,010-3001-0002,납부완료,없음,,
2026/07/01 9:10:00,박지훈,샘플중앙교회,학생,중3,남,010-2002-0001,010-3002-0001,완납,알레르기 있음,견과류,
2026/07/01 9:15:00,최수아,샘플중앙교회,학생,고2,여,010-2002-0002,010-3002-0002,미납,없음,,
2026/07/01 9:20:00,정도윤,샘플동산교회,학생,고3,남,010-2003-0001,010-3003-0001,완납,채식,,채식 식단 요청
2026/07/01 9:25:00,한지민,샘플동산교회,교사,교사,여,010-1111-0003,,완납,없음,,
2026/07/01 9:30:00,오준서,샘플은혜교회,학생,중1,남,010-2004-0001,010-3004-0001,입금완료,없음,,
2026/07/01 9:35:00,윤하은,샘플소망교회,학생,고1,여,010-2005-0001,010-3005-0001,완납,알레르기 있음,유제품,
2026/07/01 9:40:00,임현우,샘플사랑교회,학생,고2,남,010-2006-0001,010-3006-0001,부분납,없음,,
2026/07/01 9:45:00,백채원,샘플기쁨교회,학생,중3,여,010-2007-0001,010-3007-0001,완납,없음,,복용약 있음(천식)
